Station Id,Name,Latitude,Longitude,Number of Bikes
7216,Wellington St W / Stafford St,43.6409957,-79.40966630000001,1
7217,Soho St / Queen St W,43.6494896,-79.393535,5
7220,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,7
7221,High Park Subway Station,43.6543604,-79.4655296,0
7222,Sunnyside - Gus Ryder Pool,43.637894,-79.454823,8
7223,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,9
7224,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,7
7225,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,3
7226,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,14
7227,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,22
7228,Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,16
7229,Dundas St W / Roncesvalles Ave Green P -SMART,43.6534268,-79.4512787,0
7230,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,13
7231,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,14
7232,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,14
7233,King St W / Cowan Ave - SMART,43.637922,-79.431734,9
7234,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,12
7235,Bay St / College St (West Side) - SMART,43.660087,-79.385655,6
7236,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,1
7237,Ward St / Wallace Ave,43.662857,-79.44618,8
7238,Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,4
7239,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,1
7240,Bloor St W / Shaw St - SMART,43.662403,-79.423098,16
7242,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,6
7244,Dufferin Gate - SMART,43.633473,-79.425679,16
7245,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,1
7246,Yonge St / Bloor St,43.669969,-79.386532,1
7247,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,3
7248,Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,15
7249,Lakeview Ave / Harrison St (Green P) – SMART,43.651145,-79.423742,8
7250,Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,16
7252,Robert St / Bloor St W - SMART,43.665846,-79.404998,7
7253,John St  / Mercer St - SMART,43.6461,-79.3895,10
7256,Vanauley St / Queen St W - SMART,43.648437,-79.39838,4
7257,Dundas St W / St. Patrick St,43.6545174,-79.3895315,6
7258,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,9
7259,Lower Spadina Ave / Lake Shore Blvd W,43.638497,-79.39192,7
7260,Spadina Ave / Adelaide St W,43.6472019,-79.3953394,12
7261,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,7
7262,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,3
7263,Walton St / Elizabeth St - SMART,43.657838,-79.38631,7
7264,Bloor St E / Huntley St - SMART,43.671535,-79.379173,5
7265,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,1
7266,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,7
7267,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,1
7268,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,13
7269,Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,11
7270,Church St / Dundas St E - SMART,43.657024,-79.377257,3
7271,Yonge St / Alexander St - SMART,43.662862,-79.383572,5
7272,Yonge St / Dundonald St - SMART,43.665801,-79.384796,0
7273,Bay St / Charles St W - SMART,43.668153,-79.38891,10
7274,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,9
7276,Bloor St W / Balmuto St,43.669903,-79.387802,0
7277,Chorley Park - SMART,43.6856,-79.3718,1
7278,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,2
7279,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,7
7280,Charles St E / Jarvis St - SMART,43.669604,-79.381171,2
7281,Charles St W / Balmuto St - SMART,43.668427,-79.38725,1
7283,Front St W / Bay St (South Side),43.64595,-79.378761,9
7284,University Ave / King St W - SMART,43.6477785,-79.3847928,20
7285,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,18
7286,Gerrard St E / Broadview Ave  - SMART,43.665656,-79.352055,0
7287,Queen St E / Pape Ave - SMART,43.661673,-79.337789,6
7288,Humber Bay Shores Park West,43.6224434,-79.480284,9
7289,Humber Bay Shores Park East,43.6308933,-79.4722622,8
7291,190 Queens Quay E,43.6451308,-79.36536439999999,1
7292,Granby St / Church St - SMART,43.6614605,-79.37894570000002,1
7296,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,11
7297,Havelock St / Dufferin Park,43.657343,-79.43112,12
7298,Bathurst St / Adelaide St W,43.645324,-79.40345,5
7299,Mill St / Parliament St,43.650256,-79.36163,4
7301,Primrose Ave / Davenport Rd,43.67142,-79.445947,10
7302,Winona Dr / Davenport Rd,43.674923,-79.430465,0
7303,Queen St E / Woodward Ave,43.665269,-79.319796,17
7309,Queen St. E / Rhodes Ave.,43.666224,-79.317693,14
7311,Sherbourne St / Isabella St,43.669576,-79.375961,1
7312,Amelia St. / Sumach St.,43.66852,-79.363525,3
7313,Lower Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,8
7314,Queen St. E / Eastern Ave,43.667208,-79.312315,12
7315,Queen St E / Hammersmith Ave,43.671349,-79.29451,6
7316,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,12
7317,Hubbard Blvd / Balsam Av,43.669328,-79.288949,11
7318,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,15
7319,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,9
7320,Front St W / University Ave (1),43.6451635,-79.3831757,18
7321,Front St W / University Ave (2),43.6452972,-79.3827914,19
7322,East Liberty St / Western Battery Rd,43.6392777,-79.4115736,0
